PRT01   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD02   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD03   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD04   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD05   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD06   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD07   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD08   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD09   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD10   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD11   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD12   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD13   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD14   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD15   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD16   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD17   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD18   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD19   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD20   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD21   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD22   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD23   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD24   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD25   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD26   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD27   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD28   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD30   ;  Jorge Silva Gomes ; PartidoA;   19701212
MAD30   ;  Jorge Silva Gomes ; PartidoA;   19701212
